# plans-index.txt,1
# id|location|valid_from|name|disclaimer|external_uri

# de

#!group:berlin|52.521165,13.413318|Berlin
berlin_bsu_ab|52.520134,13.388018|2012-07-01|Berlin Schnellbahn Liniennetz (AB)|Berliner Verkehrsbetriebe (BVG)
berlin_bsu_abc|52.520134,13.388018|2012-07-01|Berlin Schnellbahn Liniennetz (ABC)|Berliner Verkehrsbetriebe (BVG)
berlin_tram|52.521152,13.412832|2012-08-06|Berlin Tram-Netz|Berliner Verkehrsbetriebe (BVG)
berlin_24h|52.521152,13.412832|2012-07-01|Berlin 24-Stunden-Netz|Berliner Verkehrsbetriebe (BVG)
bvg_alexanderplatz|52.521165,13.413318||Berlin Alexanderplatz Standortplan|Berliner Verkehrsbetriebe (BVG)|http://www.bvg.de/index.php/de/binaries/asset/download/474783/pdf_image_width_1280_jpeg/1-1
bvg_jannowitzbruecke|52.51414,13.41938||Berlin Jannowitzbrücke Standortplan|Berliner Verkehrsbetriebe (BVG)|http://www.bvg.de/index.php/de/binaries/asset/download/474870/pdf_image_width_1280_jpeg/1-1
bvg_hauptbahnhof|52.525034,13.369415||Berlin Hauptbahnhof Standortplan|Berliner Verkehrsbetriebe (BVG)|http://www.bvg.de/index.php/de/binaries/asset/download/475180/pdf_image_width_1280_jpeg/1-1
bvg_zoologischer_garten|52.507102,13.332236||Berlin Zoologischer Garten Standortplan|Berliner Verkehrsbetriebe (BVG)|http://www.bvg.de/index.php/de/binaries/asset/download/475104/pdf_image_width_1280_jpeg/1-1
berlin_anbindung_ber|52.363127,13.50498|2011-10|Berlin Brandenburg Flughafen Anbindung|Robert Aehnelt, Creative Commons|http://upload.wikimedia.org/wikipedia/commons/d/d3/Anbindung_BER.png
#!group:
brandenburg_regionalverkehr|52.525578,13.369523|2011-12-11|Brandenburg Regionalverkehr|Verkehrsverbund Berlin-Brandenburg GmbH
potsdam_tag|52.390931,13.067171|2011-12-11|Potsdam Tagesliniennetz|Verkehrsverbund Berlin-Brandenburg GmbH
potsdam_nacht|52.390931,13.067171|2011-12-11|Potsdam Nachtliniennetz|Verkehrsverbund Berlin-Brandenburg GmbH
cottbus_tag_abc|51.760897,14.330106|2011-12-11|Cottbus Tageslinien ABC|Verkehrsverbund Berlin-Brandenburg GmbH
cottbus_abend|51.760897,14.330106|2011-12-11|Cottbus Abendlinien|Verkehrsverbund Berlin-Brandenburg GmbH
frankfurt_oder_abc|52.336876,14.545712|2011-12-11|Frankfurt (Oder) ABC|Verkehrsverbund Berlin-Brandenburg GmbH
dresden_sbahn|51.050961,13.733239|2008-01|Dresden S-Bahn|Maximilian Dörrbecker, Wikimedia Commons|http://upload.wikimedia.org/wikipedia/commons/9/99/Dresden_-_S-Bahn_-_Liniennetz.png
muenchen_schnellbahn|48.140377,11.560643|2011-12|München Schnellbahn|MVV
muenchen_tram_metrobus|48.140377,11.560643|2012-04|München Tram/MetroBus|MVV/MVG
muenchen_nacht|48.140377,11.560643|2011-12-11|München Nachtnetz|MVG
ingolstadt_tag|48.74462,11.437987|2011-12-12|Ingolstadt Liniennetz|Ingolstädter Verkehrsgesellschaft mbH
ingolstadt_nacht|48.74462,11.437987|2011-12-12|Ingolstadt Nachtliniennetz|Ingolstädter Verkehrsgesellschaft mbH
augsburg|48.364936,10.893713|2012-03|Augsburg Innenraum|AVV GmbH
augsburg_nachtbus|48.364936,10.893713|2012-03|Augsburg Nachtbus|Stadtwerke Augsburg
nuernberg_gesamtraum|49.445719,11.082618|2011-12-11|Nürnberg Schienennetz Gesamtraum|Verkehrsverbund Großraum Nürnberg
nuernberg_schiene|49.445719,11.082618|2011-12-11|Nürnberg, Fürth Schienennetz|Verkehrsverbund Großraum Nürnberg
nuernberg_nightliner|49.445719,11.082618|2011-12|Nürnberg Nightliner|Verkehrsverbund Großraum Nürnberg
erlangen_verkehrsnetz|49.595851,11.001701|2011-12-11|Erlangen Verkehrsnetz|Verkehrsverbund Großraum Nürnberg
coburg_liniennetz|50.262975,10.957691|2011-12-11|Coburg Liniennetz|SÜC
regensburg|49.011489,12.09971|2011-12-11|Regensburg Liniennetzplan|Regensburger Verkehrsverbund GmbH & Co. KG
hamburg_usar|53.552946,10.006782|2011-12-11|Hamburg Schnellbahn/Regional|HVV
hamburg_metrobus_gross|53.552946,10.006782|2011-12-11|Hamburg MetroBus Großbereich|HVV
rostock_vvw_liniennetz|54.078139,12.131724|2011-08-15|Rostock Liniennetz|Verkehrsverbund Warnow GmbH
rostock_vvw_region|54.078139,12.131724|2011-08-15|Rostock Region|Verkehrsverbund Warnow GmbH
rostock_liniennetz|54.078139,12.131724|2012-08-06|Rostock Liniennetz|Lucas Weiss, CC-BY-SA 3.0
# rostock_sbahn|54.078139,12.131724|2010-09-15|Rostock S-Bahn|Enrico Engert
osnabrueck|52.272832,8.061726|2011-07-07|Osnabrück Liniennetz|Stadtwerke Osnabrück
osnabrueck_nacht|52.272832,8.061726|2011-07-06|Osnabrück NachtBus-Netz|Stadtwerke Osnabrück
stuttgart_verbund|48.784068,9.181713|2011-12|Stuttgart Verbund-Liniennetz|Verkehrs- und Tarifverbund Stuttgart GmbH
stuttgart_nachtbus|48.77861,9.179803|2011-12|Stuttgart Nachtbus-Liniennetz|Verkehrs- und Tarifverbund Stuttgart GmbH
# hannover_sbahn|52.376715,9.741168|2009-06|Hannover S-Bahn|Maximilian Dörrbecker, Wikimedia Commons|http://upload.wikimedia.org/wikipedia/commons/6/66/Schemaplan_der_S-Bahn_Hannover.png
hannover_stadtbahn|52.376715,9.741168|2011-12|Hannover Stadtbahnnetz|GVH
hannover_bus|52.376715,9.741168|2011-12|Hannover Busnetz|GVH
hannover_regional|52.376715,9.741168|2011-12|Hannover Regional- und S-Bahn-Linien|GVH
nrw_regio|51.429807,6.775253|2011-12|NRW Busse & Bahnen|VRS
rmv_schnellbahn|50.106318,8.662139|2011-12-11|Rhein-Main Schnellbahn|Rhein-Main-Verkehrsverbund GmbH|http://www.rmv.de/linkableblob/de/31950-51502/original/RMV-Schnellbahnplan.jpg
rmv_regional|50.106318,8.662139|2011-12-11|Rhein-Main Regional|Rhein-Main-Verkehrsverbund GmbH|http://www.rmv.de/linkableblob/de/31368-27837/original/Regionaler_Schienennetzplan.gif
rmv_nachtbus|50.106318,8.662139||Rhein-Main Nachtbus|www.nachtbus-frankfurt.de|http://www.rmv.de/linkableblob/de/42766-28928/original/Netzplan_Nachtbus_Frankfurt_RheinMain_.png
koeln_schnellverkehr|50.943579,6.95796|2012|Köln Schnellverkehr|Verkehrsverbund Rhein-Sieg GmbH
koeln_bus|50.943579,6.95796|2011-12-11|Köln Busnetz|Verkehrsverbund Rhein-Sieg GmbH
bonn_schnellverkehr|50.732784,7.096447|2011-12-11|Bonn Schnellverkehr|Verkehrsverbund Rhein-Sieg GmbH
bonn_bus|50.732784,7.096447|2011-12|Bonn Busnetz|Verkehrsverbund Rhein-Sieg GmbH
darmstadt|49.872582,8.630916|2011-12-11|Darmstadt Stadt|Darmstadt-Dieburger Nahverkehrsorganisation
darmstadt_nacht|49.872582,8.630916|2011-12-11|Darmstadt NightLiner|Darmstadt-Dieburger Nahverkehrsorganisation
schwerin|53.634476,11.407313|2011-08|Schwerin Liniennetz|Nahverkehr Schwerin GmbH
magdeburg_tag|52.130783,11.627347|2011-12-10|Magdeburg Liniennetz|Magdeburger Regionalverkehrsverbund
magdeburg_nacht|52.130783,11.627347|2011-12-10|Magdeburg Nacht-Liniennetz|Magdeburger Regionalverkehrsverbund
magdeburg_verbund|52.130783,11.627347|2012-08|Magdeburg Verbund-Liniennetz|Magdeburger Regionalverkehrsverbund
hagen|51.362675,7.461087|2010-06-13|Hagen Liniennetz|Hagener Straßenbahn AG
braunschweig_gesamt|52.252187,10.539705|2011-08-18|Braunschweig Gesamtnetz|Braunschweiger Verkehrs-AG
braunschweig_innenstadt|52.263931,10.526361|2011-08-18|Braunschweig Innenstadt|Braunschweiger Verkehrs-AG
wolfsburg|52.429484,10.788249|2012-08|Wolfsburg Liniennetz|WVG
karlsruhe_liniennetz|48.993988,8.400328|2011-12-11|Karlsruhe Liniennetz|Karlsruher Verkehrsverbund GmbH
karlsruhe_regio|48.993988,8.400328|2011-12-11|Karlsruhe Regionalverkehr|Karlsruher Verkehrsverbund GmbH
karlsruhe_bus|49.009498,8.404073|2011-12-11|Karlsruhe Busnetz|Karlsruher Verkehrsverbund GmbH
karlsruhe_nightliner|49.009498,8.404073|2011-12-11|Karlsruhe Nightliner|Karlsruher Verkehrsverbund GmbH
freiburg_liniennetz|47.996556,7.840286|2012-03-01|Freiburg Liniennetz|Freiburger Verkehrs AG
freiburg_nacht|47.996556,7.840286|2012-02-01|Freiburg Nachtbus|Freiburger Verkehrs AG

# at

linz|48.290893,14.291965|2011-12|Linz Verkehrslinienplan|Linz AG
